embed_dropout,full_embed_dropout,shared_embed,add_shared_embed,frac_shared_embed,input_dim,n_heads,n_blocks,dropout,ff_hidden_dim,transformer_activation,mlp_hidden_dims,mlp_activation,mlp_batchnorm,mlp_batchnorm_last,mlp_linear_first,with_wide,lr,batch_size,weight_decay,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss_or_metric
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2879043887886736
0.0,False,False,False,8,16,4,4,0.1,,relu,same,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2884519915613863
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,True,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2887972626421187
0.0,False,False,False,8,16,4,8,0.2,,relu,None,relu,False,False,False,True,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2891877074208524
0.0,False,False,False,8,16,2,4,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2893709937731425
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2894304489923848
0.0,False,False,False,8,32,8,8,0.2,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2898670708139737
0.0,False,True,False,4,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2898791221280892
0.0,False,False,False,8,16,4,6,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.289944801479578
0.0,False,False,False,8,16,4,4,0.1,,relu,same,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2900158361428314
0.0,False,False,False,8,16,4,8,0.2,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2903566588130262
0.0,False,False,False,8,16,4,6,0.2,,relu,None,relu,False,False,False,True,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2908491649561458
0.0,False,False,False,8,16,4,8,0.2,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2911026432282395
0.0,False,True,False,4,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2911446454624335
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2914959196415212
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2917050073544184
0.0,False,True,False,4,16,4,6,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2922596484422683
0.0,False,False,False,8,16,4,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2925206708411376
0.1,False,False,False,8,32,8,8,0.2,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2925572440856033
0.0,False,False,False,8,16,4,4,0.1,,relu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2925770034392674
0.0,False,False,False,8,16,4,8,0.2,,relu,None,relu,False,False,False,False,0.001,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2926167551842
0.0,False,True,False,4,16,4,8,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2926431844631831
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.01,1024,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2926560997962951
0.1,True,False,False,8,16,4,8,0.2,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2926716510620382
0.0,False,False,False,8,16,4,6,0.1,,relu,None,relu,False,False,False,True,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2928466130461957
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2930371380514568
0.0,False,False,False,8,32,8,8,0.2,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2931649171643787
