n_steps,step_dim,attn_dim,ghost_bn,virtual_batch_size,momentum,gamma,dropout,embed_dropout,lr,batch_size,weight_decay,lambda_sparse,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss_or_metric
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,35.812161127726235
3,16,16,False,128,0.98,1.5,0.2,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,37.64170856964894
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,38.9770994919997
5,16,16,False,128,0.98,1.5,0.2,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,39.5898796472794
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,256,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,40.94617325220353
5,16,16,True,256,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,41.34730043411255
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,43.89829998016357
5,16,16,False,128,0.98,1.5,0.4,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,44.01116894453
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,44.21221737983899
3,16,16,False,128,0.98,1.5,0.2,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,45.75995249625964
5,16,16,False,128,0.98,1.5,0.4,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,45.95196288671249
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,46.16959266662597
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,47.64252853085918
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,48.64864654541016
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,51.7557466506958
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,55.73165513930782
5,16,16,True,256,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,58.60841903686524
7,16,16,False,128,0.98,1.5,0.2,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,62.81154515193059
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,65.69929553300906
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,70.16062755584717
7,16,16,False,128,0.98,1.5,0.4,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,72.45882269052359
5,16,16,True,256,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,73.15697174072265
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,76.34130363464355
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,79.46285095214844
5,16,16,True,256,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,81.09984474182129
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,84.5872449874878
5,16,16,False,128,0.02,1.5,0.0,0.0,0.001,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,85.40660750560271
5,16,16,False,128,0.9,1.5,0.0,0.0,0.001,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,86.02471689077524
3,16,16,False,128,0.5,1.5,0.2,0.0,0.001,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,86.27813349014673
5,16,16,False,128,0.5,1.5,0.0,0.0,0.001,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,86.58746641110152
3,16,16,False,128,0.9,1.5,0.2,0.0,0.001,512,0.0,0.001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,86.60293784508339
3,16,16,False,128,0.9,1.5,0.2,0.0,0.001,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,86.66064580281575
7,16,16,False,128,0.98,1.5,0.4,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,86.7020742954352
3,16,16,False,128,0.9,2.0,0.2,0.0,0.001,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,86.85731750879532
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,86.91155185699463
5,16,16,False,128,0.02,1.5,0.0,0.0,0.001,1024,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,87.08507022857665
3,16,16,False,128,0.1,1.5,0.2,0.0,0.001,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,87.1687995715019
5,16,16,False,128,0.98,1.5,0.2,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,87.51996534298628
5,16,16,False,128,0.02,1.5,0.0,0.0,0.001,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,87.76245958377153
3,16,16,False,128,0.3,1.5,0.2,0.0,0.001,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,87.93626413589868
5,16,16,False,128,0.7,1.5,0.0,0.0,0.001,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,88.02889642959985
3,16,16,False,128,0.9,1.75,0.2,0.0,0.001,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,88.29782798962715
5,16,16,False,128,0.02,1.5,0.0,0.0,0.001,1024,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,88.30127010345458
5,16,16,False,128,0.9,1.25,0.0,0.0,0.001,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,88.53109437991411
3,16,16,False,128,0.9,1.25,0.2,0.0,0.001,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,89.07900052192883
3,16,16,False,128,0.9,1.5,0.2,0.0,0.001,512,0.0,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,89.10533220340044
5,16,16,True,256,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,89.12733745574951
5,16,16,False,128,0.9,1.5,0.0,0.0,0.001,512,0.0,0.001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,89.23439143254207
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,256,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,89.82599226633708
5,16,16,False,128,0.02,1.5,0.0,0.0,0.001,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,89.91542263031006
5,16,16,False,128,0.1,1.5,0.0,0.0,0.001,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,90.0550430493477
5,16,16,True,256,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,90.06943893432617
5,16,16,False,128,0.9,1.5,0.0,0.0,0.001,512,0.0001,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,90.12102244450496
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,90.33647938263722
5,16,16,False,128,0.02,1.5,0.0,0.0,0.001,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,90.77880321404872
5,16,16,False,128,0.3,1.5,0.0,0.0,0.001,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,91.34384399805312
5,16,16,False,128,0.9,1.75,0.0,0.0,0.001,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,91.56298446655272
5,16,16,False,128,0.02,1.5,0.0,0.0,0.001,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,91.7419921875
3,16,16,False,128,0.9,1.5,0.2,0.0,0.001,512,0.0,0.01,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,92.27267612555087
5,16,16,False,128,0.9,1.5,0.0,0.0,0.001,512,0.001,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,92.51138256757687
3,16,16,False,128,0.7,1.5,0.2,0.0,0.001,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,93.21802246876253
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,93.58764820098877
3,16,16,False,128,0.9,1.5,0.2,0.0,0.001,512,0.001,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,93.6393877665202
5,16,16,False,128,0.9,1.5,0.0,0.0,0.001,512,0.0,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,94.64730942554964
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,96.4979944229126
5,16,16,False,128,0.02,1.5,0.0,0.0,0.001,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,99.2216682434082
5,16,16,False,128,0.9,1.5,0.0,0.0,0.001,512,0.0,0.01,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,100.66697497245592
7,16,16,False,128,0.98,1.5,0.2,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,124.10461582281653
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,132.68414382934571
5,16,16,False,128,0.9,2.0,0.0,0.0,0.001,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,137.13206129807693
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,158.44732372577374
