embed_dropout,full_embed_dropout,shared_embed,add_shared_embed,frac_shared_embed,input_dim,n_heads,n_blocks,dropout,ff_hidden_dim,transformer_activation,mlp_hidden_dims,mlp_activation,mlp_batchnorm,mlp_batchnorm_last,mlp_linear_first,with_wide,lr,batch_size,weight_decay,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss_or_metric
0.0,False,False,False,8,16,2,4,0.1,,relu,None,relu,False,False,False,False,0.0005,1024,0.0,Adam,CyclicLR,0.0005,0.01,25,10000.0,10.0,33.0946249961853
0.0,False,False,False,8,16,2,4,0.1,,relu,None,relu,False,False,False,False,0.0005,4096,0.0,AdamW,OneCycleLR,0.001,0.01,25,1000.0,5.0,33.12831687927246
0.0,False,False,False,8,16,2,4,0.1,,relu,None,relu,False,False,False,False,0.001,1024,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,33.217492294311526
0.0,False,False,False,8,16,2,4,0.1,,relu,same,relu,False,False,False,False,0.001,1024,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,33.469849300384524
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.001,1024,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,33.794980144500734
0.0,False,False,False,8,16,2,4,0.1,,relu,None,relu,False,False,False,False,0.0005,4096,0.0,AdamW,CyclicLR,0.0005,0.01,25,10000.0,5.0,33.80252189636231
0.0,False,False,False,8,16,2,4,0.1,,relu,None,relu,False,False,False,False,0.001,4096,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,33.81230239868164
0.0,False,True,False,4,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,1024,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,33.81352453231811
0.0,False,False,False,8,16,2,4,0.1,,relu,None,relu,False,False,False,False,0.0005,1024,0.0,Adam,CyclicLR,0.0005,0.01,25,10000.0,5.0,33.86547164916992
0.0,False,True,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,1024,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,33.879105186462404
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,1024,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,33.94702196121216
0.0,False,False,False,8,16,2,4,0.1,,relu,None,relu,False,False,False,False,0.0005,4096,0.0,AdamW,CyclicLR,0.0005,0.01,25,10000.0,10.0,34.157178497314455
0.0,False,False,False,8,16,2,4,0.1,,relu,None,relu,False,False,False,False,0.0005,1024,0.0,Adam,OneCycleLR,0.001,0.01,25,1000.0,5.0,34.15771923065186
0.0,False,False,False,8,16,2,4,0.1,,relu,same,relu,False,False,False,False,0.001,4096,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,34.22702331542969
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,512,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,34.3155391399677
0.0,False,False,False,8,16,4,4,0.2,,relu,None,relu,False,False,False,False,0.001,1024,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,34.31744413375854
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,1024,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,34.4259955406189
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.001,4096,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,34.45657119750977
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,4096,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,34.49561996459961
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,512,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,34.50916035970052
0.0,False,True,False,4,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,1024,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,34.57242193222046
0.0,False,False,False,8,16,2,4,0.2,,relu,None,relu,False,False,False,False,0.001,1024,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,34.68650379180908
0.0,False,False,False,8,32,8,6,0.2,,relu,None,relu,False,False,False,False,0.001,4096,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,34.88937530517578
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,512,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,34.92657289749537
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,4096,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,35.03898696899414
0.0,False,False,False,8,32,8,6,0.2,,relu,None,relu,False,False,False,False,0.001,1024,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,35.06751985549927
0.0,False,False,False,8,16,2,4,0.1,,relu,None,relu,False,False,False,False,0.0005,4096,0.0,AdamW,OneCycleLR,0.001,0.01,25,1000.0,5.0,35.18847160339355
0.0,False,False,False,8,32,4,6,0.2,,relu,None,relu,False,False,False,False,0.001,4096,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,35.3026538848877
0.0,False,False,False,8,32,4,4,0.2,,relu,None,relu,False,False,False,False,0.001,1024,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,35.41038990020752
0.0,False,False,False,8,32,8,4,0.2,,relu,None,relu,False,False,False,False,0.001,1024,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,35.43222951889038
0.0,False,True,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,1024,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,35.74374265670777
