n_steps,step_dim,attn_dim,ghost_bn,virtual_batch_size,momentum,gamma,dropout,embed_dropout,lr,batch_size,weight_decay,lambda_sparse,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss_or_metric
5,8,8,False,128,0.75,1.5,0.0,0.0,0.01,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,144819.1189732143
5,8,8,False,128,0.98,1.5,0.0,0.0,0.01,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,146057.80775669642
5,8,8,False,128,0.5,1.5,0.0,0.0,0.01,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,146201.3771205357
5,16,16,False,128,0.98,1.5,0.0,0.0,0.01,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,146461.73434709822
5,8,8,False,128,0.25,1.5,0.0,0.0,0.01,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,148636.88878348214
5,8,8,False,128,0.98,2.0,0.0,0.0,0.01,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,149861.00050223214
5,16,16,True,128,0.98,1.5,0.5,0.0,0.01,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,150407.23861607144
5,16,16,True,128,0.98,1.5,0.5,0.0,0.01,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,151140.45463169643
5,16,16,False,128,0.98,1.5,0.0,0.0,0.01,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,151425.00477120536
5,16,16,False,128,0.98,1.5,0.0,0.0,0.01,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,151759.92140066964
5,16,16,False,128,0.98,1.5,0.0,0.0,0.01,1024,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,152549.57767857143
5,16,16,False,128,0.98,1.5,0.0,0.0,0.01,1024,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,153434.73543526785
5,8,8,False,128,0.98,1.75,0.0,0.0,0.01,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,154564.433984375
5,8,8,False,128,0.98,1.5,0.0,0.0,0.01,1024,0.0,0.01,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,157979.2109375
5,16,16,True,128,0.98,1.5,0.5,0.0,0.01,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,159632.42974330357
5,16,16,False,128,0.98,1.5,0.0,0.0,0.01,1024,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,163159.34776785714
5,8,8,False,128,0.98,1.25,0.0,0.0,0.01,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,165957.71587611607
5,8,8,False,128,0.98,1.5,0.0,0.0,0.01,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,167386.44776785714
5,8,8,False,128,0.98,1.5,0.0,0.0,0.01,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,168081.43443080358
5,8,8,False,128,0.98,1.5,0.0,0.0,0.01,1024,0.0,1e-05,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,170337.70845424107
5,8,8,False,128,0.98,1.5,0.0,0.0,0.01,1024,0.0,0.001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,170603.15284598214
